english	de	fr	ko	es	ru	el	zh-Hans	zh-Hant	it	pt-BR	ja	pl
Install the missing prerequisites	Fehlende Voraussetzungen installieren	Installer les prérequis manquants	누락된 필수 구성 요소 설치	Instalar los requisitos que faltan					Installa i prerequisiti mancanti	Instale os pré-requisitos ausentes		Zainstaluj brakujące wymagania
Download each one from the vendor and run their installer, then re-check.	Lade jedes beim Hersteller herunter, führe den Installer aus und prüfe dann erneut.	Téléchargez chacun chez l'éditeur, lancez son installateur, puis revérifiez.	각각 제조사에서 내려받아 설치 프로그램을 실행한 뒤 다시 확인하세요.	Descarga cada uno del fabricante, ejecuta su instalador y vuelve a comprobar.					Scarica ciascuno dal produttore, esegui il suo installer, poi ricontrolla.	Baixe cada um do fabricante, execute o instalador e verifique de novo.		Pobierz każde od producenta, uruchom instalator, potem sprawdź ponownie.
Re-check and continue	Erneut prüfen und fortfahren	Revérifier et continuer	다시 확인하고 계속	Volver a comprobar y continuar					Ricontrolla e continua	Reverificar e continuar		Sprawdź ponownie i kontynuuj
Re-check tools	Tools erneut prüfen	Revérifier les outils	도구 다시 확인	Recomprobar					Ricontrolla strumenti	Reverificar ferramentas		Sprawdź narzędzia znów
Trust the ClawTweaks signing certificate	Dem ClawTweaks-Signaturzertifikat vertrauen	Faire confiance au certificat de signature ClawTweaks	ClawTweaks 서명 인증서 신뢰	Confiar en el certificado de firma de ClawTweaks					Rendi attendibile il certificato di firma ClawTweaks	Confiar no certificado de assinatura do ClawTweaks		Zaufaj certyfikatowi podpisu ClawTweaks
ClawTweaks is signed with its own certificate, and Windows only installs a package whose certificate it trusts. You only have to do this once — every future build uses the same one.	ClawTweaks ist mit einem eigenen Zertifikat signiert, und Windows installiert nur Pakete, deren Zertifikat es vertraut. Das ist nur einmal nötig — jeder künftige Build nutzt dasselbe.	ClawTweaks est signé avec son propre certificat, et Windows n'installe qu'un paquet dont il approuve le certificat. À faire une seule fois — chaque build futur utilise le même.	ClawTweaks는 자체 인증서로 서명되어 있으며, Windows는 신뢰하는 인증서의 패키지만 설치합니다. 한 번만 하면 됩니다 — 이후 모든 빌드가 같은 인증서를 사용합니다.	ClawTweaks está firmado con su propio certificado y Windows solo instala paquetes cuyo certificado confía. Solo hay que hacerlo una vez — cada build futuro usa el mismo.					ClawTweaks è firmato con un proprio certificato, e Windows installa solo pacchetti con un certificato attendibile. Va fatto una sola volta — ogni build futura usa lo stesso.	O ClawTweaks é assinado com seu próprio certificado, e o Windows só instala um pacote cujo certificado ele confia. Você só precisa fazer isso uma vez — todos os builds futuros usam o mesmo.		ClawTweaks jest podpisany własnym certyfikatem, a Windows instaluje tylko pakiet, którego certyfikatowi ufa. Robisz to tylko raz — każda przyszła wersja używa tego samego.
The certificate was imported for your user account instead of the local machine. Windows only consults the machine store when installing a package, so this has no effect. Run the import again and pick "Local Machine" on the first page.	Das Zertifikat wurde für dein Benutzerkonto statt für den lokalen Computer importiert. Windows liest beim Installieren eines Pakets nur den Computerspeicher, das hat also keine Wirkung. Starte den Import erneut und wähle auf der ersten Seite „Lokaler Computer“.	Le certificat a été importé pour votre compte utilisateur au lieu de l'ordinateur local. Windows ne consulte que le magasin de l'ordinateur pour installer un paquet, donc cela n'a aucun effet. Relancez l'importation et choisissez « Ordinateur local » sur la première page.	인증서가 로컬 컴퓨터가 아닌 사용자 계정에 가져와졌습니다. Windows는 패키지를 설치할 때 컴퓨터 저장소만 확인하므로 효과가 없습니다. 가져오기를 다시 실행하고 첫 페이지에서 "로컬 컴퓨터"를 선택하세요.	El certificado se importó para tu cuenta de usuario en vez de para el equipo local. Windows solo consulta el almacén del equipo al instalar un paquete, así que no tiene efecto. Repite la importación y elige "Equipo local" en la primera página.					Il certificato è stato importato per il tuo account utente invece che per il computer locale. Windows consulta solo l'archivio del computer quando installa un pacchetto, quindi non ha effetto. Ripeti l'importazione e scegli "Computer locale" nella prima pagina.	O certificado foi importado para sua conta de usuário em vez do computador local. O Windows só consulta o repositório do computador ao instalar um pacote, então isso não tem efeito. Execute a importação de novo e escolha "Computador local" na primeira página.		Certyfikat został zaimportowany dla konta użytkownika zamiast komputera lokalnego. Windows przy instalacji pakietu sprawdza tylko magazyn komputera, więc to nie ma efektu. Uruchom import ponownie i wybierz „Komputer lokalny” na pierwszej stronie.
The certificate landed in "Trusted Root Certification Authorities". That is both more than ClawTweaks needs — it would make this certificate a trust anchor for anything, not just this package — and still not where Windows looks. Remove it from there and import it into "Trusted People" instead.	Das Zertifikat ist in „Vertrauenswürdige Stammzertifizierungsstellen“ gelandet. Das ist mehr, als ClawTweaks braucht — es würde dieses Zertifikat zum Vertrauensanker für alles machen, nicht nur für dieses Paket — und trotzdem nicht dort, wo Windows nachsieht. Entferne es dort und importiere es stattdessen in „Vertrauenswürdige Personen“.	Le certificat s'est retrouvé dans « Autorités de certification racines de confiance ». C'est à la fois plus que ce dont ClawTweaks a besoin — il deviendrait une ancre de confiance pour tout, pas seulement ce paquet — et toujours pas là où Windows regarde. Retirez-le de là et importez-le plutôt dans « Personnes autorisées ».	인증서가 "신뢰할 수 있는 루트 인증 기관"에 들어갔습니다. 이는 ClawTweaks에 필요한 것 이상이며 — 이 패키지뿐 아니라 모든 것의 신뢰 앵커가 됩니다 — 그러면서도 Windows가 확인하는 위치가 아닙니다. 거기서 제거하고 대신 "신뢰할 수 있는 사용자"에 가져오세요.	El certificado acabó en "Entidades de certificación raíz de confianza". Eso es más de lo que ClawTweaks necesita — convertiría este certificado en ancla de confianza para todo, no solo para este paquete — y aun así no es donde Windows mira. Quítalo de ahí e impórtalo en "Personas de confianza".					Il certificato è finito in "Autorità di certificazione radice attendibili". È più di quanto serva a ClawTweaks — renderebbe questo certificato un'ancora di fiducia per tutto, non solo per questo pacchetto — e comunque non è dove guarda Windows. Rimuovilo da lì e importalo invece in "Persone attendibili".	O certificado foi parar em "Autoridades de Certificação Raiz Confiáveis". Isso é mais do que o ClawTweaks precisa — tornaria este certificado uma âncora de confiança para qualquer coisa, não só para este pacote — e ainda não é onde o Windows procura. Remova-o de lá e importe-o em "Pessoas Confiáveis".		Certyfikat trafił do „Zaufane główne urzędy certyfikacji”. To więcej niż potrzebuje ClawTweaks — uczyniłoby ten certyfikat kotwicą zaufania dla wszystkiego, nie tylko tego pakietu — a i tak nie tam Windows szuka. Usuń go stamtąd i zaimportuj do „Zaufane osoby”.
Check the certificate and continue	Zertifikat prüfen und fortfahren	Vérifier le certificat et continuer	인증서 확인 후 계속	Comprobar el certificado y continuar					Verifica il certificato e continua	Verificar o certificado e continuar		Sprawdź certyfikat i kontynuuj
Check certificate	Zertifikat prüfen	Vérifier le certificat	인증서 확인	Comprobar certificado					Verifica certificato	Verificar certificado		Sprawdź certyfikat
Installed, but the helper did not appear in time — open the Game Bar (Win+G) manually.	Installiert, aber der Helper ist nicht rechtzeitig erschienen — öffne die Game Bar (Win+G) von Hand.	Installé, mais le helper n'est pas apparu à temps — ouvrez la Game Bar (Win+G) manuellement.	설치되었지만 헬퍼가 제때 나타나지 않았습니다 — Game Bar(Win+G)를 직접 여세요.	Instalado, pero el helper no apareció a tiempo — abre la Game Bar (Win+G) manualmente.					Installato, ma l'helper non è comparso in tempo — apri la Game Bar (Win+G) manualmente.	Instalado, mas o helper não apareceu a tempo — abra a Game Bar (Win+G) manualmente.		Zainstalowano, ale helper nie pojawił się na czas — otwórz Game Bar (Win+G) ręcznie.
Virtual pad	Virtuelles Gamepad	Manette virtuelle	가상 패드	Mando virtual					Pad virtuale	Controle virtual		Wirtualny pad
Virtual controller mode detected	Virtueller Controller-Modus erkannt	Mode manette virtuelle détecté	가상 컨트롤러 모드 감지됨	Modo de mando virtual detectado					Rilevata modalità controller virtuale	Modo de controle virtual detectado		Wykryto tryb wirtualnego kontrolera
{0} active and running.	{0} aktiv und läuft.	{0} actif et en marche.	{0} 활성 상태로 실행 중.	{0} activo y en marcha.					{0} attivo e in esecuzione.	{0} ativo e em execução.		{0} aktywny i działa.
HW controller mode detected	HW-Controller-Modus erkannt	Mode manette matérielle détecté	HW 컨트롤러 모드 감지됨	Modo de mando HW detectado					Rilevata modalità controller hardware	Modo de controle de hardware detectado		Wykryto tryb kontrolera sprzętowego
MSI HW Controller active and running.	MSI HW-Controller aktiv und läuft.	Manette matérielle MSI active et en marche.	MSI HW 컨트롤러 활성 상태로 실행 중.	Mando HW de MSI activo y en marcha.					Controller hardware MSI attivo e in esecuzione.	Controle de hardware MSI ativo e em execução.		Kontroler sprzętowy MSI aktywny i działa.
Claw controller not detected.	Claw-Controller nicht erkannt.	Manette Claw non détectée.	Claw 컨트롤러가 감지되지 않았습니다.	Mando Claw no detectado.					Controller Claw non rilevato.	Controle do Claw não detectado.		Nie wykryto kontrolera Claw.
Controller mode unknown	Controller-Modus unbekannt	Mode manette inconnu	컨트롤러 모드 알 수 없음	Modo de mando desconocido					Modalità controller sconosciuta	Modo do controle desconhecido		Nieznany tryb kontrolera
The download did not complete. Check your internet connection and try again.	Der Download wurde nicht abgeschlossen. Prüfe deine Internetverbindung und versuche es erneut.	Le téléchargement ne s'est pas terminé. Vérifiez votre connexion Internet et réessayez.	다운로드가 완료되지 않았습니다. 인터넷 연결을 확인하고 다시 시도하세요.	La descarga no se completó. Comprueba tu conexión a Internet e inténtalo de nuevo.					Il download non è stato completato. Controlla la connessione a Internet e riprova.	O download não foi concluído. Verifique sua conexão com a internet e tente de novo.		Pobieranie nie zostało ukończone. Sprawdź połączenie z internetem i spróbuj ponownie.
This version has no package to download.	Diese Version hat kein Paket zum Herunterladen.	Cette version n'a aucun paquet à télécharger.	이 버전에는 다운로드할 패키지가 없습니다.	Esta versión no tiene ningún paquete para descargar.					Questa versione non ha alcun pacchetto da scaricare.	Esta versão não tem pacote para baixar.		Ta wersja nie ma pakietu do pobrania.
Download complete.	Download abgeschlossen.	Téléchargement terminé.	다운로드 완료.	Descarga completada.					Download completato.	Download concluído.		Pobieranie zakończone.
The download contains no package file.	Der Download enthält keine Paketdatei.	Le téléchargement ne contient aucun fichier de paquet.	다운로드에 패키지 파일이 없습니다.	La descarga no contiene ningún archivo de paquete.					Il download non contiene alcun file di pacchetto.	O download não contém arquivo de pacote.		Pobrane dane nie zawierają pliku pakietu.
The downloaded package is incomplete — its manifest is missing.	Das heruntergeladene Paket ist unvollständig — sein Manifest fehlt.	Le paquet téléchargé est incomplet — son manifeste manque.	다운로드한 패키지가 불완전합니다 — 매니페스트가 없습니다.	El paquete descargado está incompleto — falta su manifiesto.					Il pacchetto scaricato è incompleto — manca il manifest.	O pacote baixado está incompleto — falta o manifesto.		Pobrany pakiet jest niekompletny — brakuje manifestu.
The downloaded package is not readable.	Das heruntergeladene Paket ist nicht lesbar.	Le paquet téléchargé est illisible.	다운로드한 패키지를 읽을 수 없습니다.	El paquete descargado no se puede leer.					Il pacchetto scaricato non è leggibile.	O pacote baixado não pode ser lido.		Pobranego pakietu nie da się odczytać.
(received {0:N0} of {1:N0} bytes)	({0:N0} von {1:N0} Bytes empfangen)	({0:N0} octets reçus sur {1:N0})	({1:N0} 중 {0:N0}바이트 수신)	(recibidos {0:N0} de {1:N0} bytes)					(ricevuti {0:N0} di {1:N0} byte)	(recebidos {0:N0} de {1:N0} bytes)		(odebrano {0:N0} z {1:N0} bajtów)
The download produced an empty file.	Der Download hat eine leere Datei ergeben.	Le téléchargement a produit un fichier vide.	다운로드 결과 빈 파일이 생성되었습니다.	La descarga produjo un archivo vacío.					Il download ha prodotto un file vuoto.	O download gerou um arquivo vazio.		Pobieranie dało pusty plik.
Click "Install Certificate…" on the General tab.	Klicke im Reiter „Allgemein“ auf „Zertifikat installieren…“.	Cliquez sur « Installer un certificat… » dans l'onglet Général.	일반 탭에서 "인증서 설치…"를 클릭하세요.	Haz clic en "Instalar certificado…" en la pestaña General.					Fai clic su "Installa certificato…" nella scheda Generale.	Clique em "Instalar certificado…" na guia Geral.		Kliknij „Zainstaluj certyfikat…” na karcie Ogólne.
Store Location: choose "Local Machine" (not "Current User"), then Next. Windows asks for administrator rights here — that prompt comes from Windows itself.	Speicherort: „Lokaler Computer“ wählen (nicht „Aktueller Benutzer“), dann Weiter. Windows fragt hier nach Administratorrechten — diese Abfrage kommt von Windows selbst.	Emplacement du magasin : choisissez « Ordinateur local » (pas « Utilisateur actuel »), puis Suivant. Windows demande ici des droits d'administrateur — cette invite vient de Windows lui-même.	저장소 위치: "로컬 컴퓨터"를 선택하고("현재 사용자" 아님) 다음을 누르세요. 여기서 Windows가 관리자 권한을 요청합니다 — 이 메시지는 Windows 자체에서 나옵니다.	Ubicación del almacén: elige "Equipo local" (no "Usuario actual") y Siguiente. Windows pide aquí derechos de administrador — ese aviso viene del propio Windows.					Percorso archivio: scegli "Computer locale" (non "Utente corrente"), poi Avanti. Qui Windows chiede i diritti di amministratore — la richiesta viene da Windows stesso.	Local do repositório: escolha "Computador local" (não "Usuário atual") e Avançar. O Windows pede direitos de administrador aqui — esse pedido vem do próprio Windows.		Lokalizacja magazynu: wybierz „Komputer lokalny” (nie „Bieżący użytkownik”), potem Dalej. Windows prosi tu o uprawnienia administratora — ten monit pochodzi od samego Windows.
Choose "Place all certificates in the following store", click Browse…	„Alle Zertifikate in folgendem Speicher speichern“ wählen, dann Durchsuchen…	Choisissez « Placer tous les certificats dans le magasin suivant », cliquez sur Parcourir…	"모든 인증서를 다음 저장소에 저장"을 선택하고 찾아보기…를 클릭하세요.	Elige "Colocar todos los certificados en el siguiente almacén" y haz clic en Examinar…					Scegli "Colloca tutti i certificati nel seguente archivio", fai clic su Sfoglia…	Escolha "Colocar todos os certificados no repositório a seguir" e clique em Procurar…		Wybierz „Umieść wszystkie certyfikaty w następującym magazynie”, kliknij Przeglądaj…
Select "Trusted People" — NOT "Trusted Root Certification Authorities".	„Vertrauenswürdige Personen“ wählen — NICHT „Vertrauenswürdige Stammzertifizierungsstellen“.	Sélectionnez « Personnes autorisées » — PAS « Autorités de certification racines de confiance ».	"신뢰할 수 있는 사용자"를 선택하세요 — "신뢰할 수 있는 루트 인증 기관"이 아닙니다.	Selecciona "Personas de confianza" — NO "Entidades de certificación raíz de confianza".					Seleziona "Persone attendibili" — NON "Autorità di certificazione radice attendibili".	Selecione "Pessoas Confiáveis" — NÃO "Autoridades de Certificação Raiz Confiáveis".		Wybierz „Zaufane osoby” — NIE „Zaufane główne urzędy certyfikacji”.
Next, then Finish. You should see "The import was successful."	Weiter, dann Fertig stellen. Es sollte „Der Importvorgang war erfolgreich.“ erscheinen.	Suivant, puis Terminer. Vous devriez voir « L'importation a réussi. »	다음, 그다음 마침. "가져오기를 완료했습니다."가 표시되어야 합니다.	Siguiente y luego Finalizar. Deberías ver "La importación se completó correctamente."					Avanti, poi Fine. Dovresti vedere "Importazione completata."	Avançar e depois Concluir. Você deve ver "A importação obteve êxito."		Dalej, potem Zakończ. Powinien pojawić się komunikat „Import został pomyślnie ukończony”.
Controller probe timed out.	Controller-Prüfung: Zeitüberschreitung.	Test de la manette expiré.	컨트롤러 확인 시간 초과.	La comprobación del mando agotó el tiempo.					Verifica del controller scaduta.	Tempo esgotado na sondagem do controle.		Sondowanie kontrolera przekroczyło czas.
Controller probe failed: {0}	Controller-Prüfung fehlgeschlagen: {0}	Test de la manette échoué : {0}	컨트롤러 확인 실패: {0}	Comprobación del mando fallida: {0}					Verifica del controller non riuscita: {0}	Falha na sondagem do controle: {0}		Sondowanie kontrolera nie powiodło się: {0}
MSI Claw controller not detected (VID_0DB0). Connect/enable the controller, or MSI Center M may have taken it over.	MSI Claw-Controller nicht erkannt (VID_0DB0). Controller anschließen/aktivieren — oder MSI Center M hat ihn übernommen.	Manette MSI Claw non détectée (VID_0DB0). Connectez/activez la manette, ou MSI Center M l'a peut-être prise en main.	MSI Claw 컨트롤러가 감지되지 않았습니다(VID_0DB0). 컨트롤러를 연결/활성화하세요. MSI Center M이 가져갔을 수도 있습니다.	Mando MSI Claw no detectado (VID_0DB0). Conecta/activa el mando, o puede que MSI Center M lo haya tomado.					Controller MSI Claw non rilevato (VID_0DB0). Collega/attiva il controller, oppure MSI Center M se n'è impossessato.	Controle do MSI Claw não detectado (VID_0DB0). Conecte/ative o controle, ou o MSI Center M pode tê-lo assumido.		Nie wykryto kontrolera MSI Claw (VID_0DB0). Podłącz/włącz kontroler, albo przejął go MSI Center M.
MSI Center M is running. It can fight ClawTweaks for the controller and LED. This is handled after installation.	MSI Center M läuft. Es kann mit ClawTweaks um Controller und LED konkurrieren. Das wird nach der Installation geregelt.	MSI Center M est en cours d'exécution. Il peut disputer la manette et la LED à ClawTweaks. Cela est réglé après l'installation.	MSI Center M이 실행 중입니다. 컨트롤러와 LED를 두고 ClawTweaks와 충돌할 수 있습니다. 설치 후에 처리됩니다.	MSI Center M está en ejecución. Puede pelear con ClawTweaks por el mando y el LED. Esto se resuelve tras la instalación.					MSI Center M è in esecuzione. Può contendere a ClawTweaks il controller e i LED. Viene gestito dopo l'installazione.	O MSI Center M está em execução. Ele pode disputar o controle e o LED com o ClawTweaks. Isso é tratado após a instalação.		MSI Center M działa. Może walczyć z ClawTweaks o kontroler i LED. To jest obsługiwane po instalacji.
Steam's Xbox controller filter driver is present — a common cause of double input. Check Steam Input settings if you see doubled inputs.	Steams Xbox-Controller-Filtertreiber ist vorhanden — eine häufige Ursache für doppelte Eingaben. Prüfe die Steam-Input-Einstellungen, wenn Eingaben doppelt ankommen.	Le pilote de filtre de manette Xbox de Steam est présent — cause fréquente de double saisie. Vérifiez les réglages Steam Input si les entrées sont doublées.	Steam의 Xbox 컨트롤러 필터 드라이버가 있습니다 — 이중 입력의 흔한 원인입니다. 입력이 중복되면 Steam 입력 설정을 확인하세요.	El controlador de filtro de mando Xbox de Steam está presente — causa común de entrada doble. Revisa los ajustes de Steam Input si ves entradas duplicadas.					Il driver filtro per controller Xbox di Steam è presente — causa comune di doppio input. Controlla le impostazioni di Steam Input se gli input risultano doppi.	O driver de filtro de controle Xbox do Steam está presente — causa comum de entrada duplicada. Verifique as configurações do Steam Input se notar entradas duplas.		Sterownik filtra kontrolera Xbox Steam jest obecny — częsta przyczyna podwójnego wejścia. Sprawdź ustawienia Steam Input, jeśli widzisz zdublowane wejścia.
{0} XInput controllers are currently visible. Two or more while playing = double input.	{0} XInput-Controller sind derzeit sichtbar. Zwei oder mehr beim Spielen = doppelte Eingaben.	{0} manettes XInput sont visibles actuellement. Deux ou plus en jeu = double saisie.	현재 XInput 컨트롤러 {0}개가 보입니다. 플레이 중 2개 이상 = 이중 입력.	{0} mandos XInput visibles ahora. Dos o más al jugar = entrada doble.					{0} controller XInput sono visibili al momento. Due o più durante il gioco = doppio input.	{0} controles XInput estão visíveis no momento. Dois ou mais durante o jogo = entrada duplicada.		Obecnie widocznych jest {0} kontrolerów XInput. Dwa lub więcej podczas gry = podwójne wejście.
Controller healthy — ready to mount as a virtual pad.	Controller in Ordnung — bereit zum Einbinden als virtuelles Gamepad.	Manette en bon état — prête à être montée en manette virtuelle.	컨트롤러 정상 — 가상 패드로 연결할 준비가 되었습니다.	Mando en buen estado — listo para montarse como mando virtual.					Controller a posto — pronto per essere montato come pad virtuale.	Controle saudável — pronto para montar como controle virtual.		Kontroler sprawny — gotowy do zamontowania jako wirtualny pad.
MSI Claw controller not found. Connect/enable it (MSI Center M may hold it).	MSI Claw-Controller nicht gefunden. Anschließen/aktivieren (MSI Center M hält ihn womöglich).	Manette MSI Claw introuvable. Connectez-la/activez-la (MSI Center M la retient peut-être).	MSI Claw 컨트롤러를 찾을 수 없습니다. 연결/활성화하세요(MSI Center M이 점유 중일 수 있음).	Mando MSI Claw no encontrado. Conéctalo/actívalo (MSI Center M puede retenerlo).					Controller MSI Claw non trovato. Collegalo/attivalo (MSI Center M potrebbe trattenerlo).	Controle do MSI Claw não encontrado. Conecte/ative-o (o MSI Center M pode estar segurando-o).		Nie znaleziono kontrolera MSI Claw. Podłącz/włącz go (może go trzymać MSI Center M).
Controller HID is held by another process — close conflicting controller software and re-check.	Das Controller-HID wird von einem anderen Prozess gehalten — störende Controller-Software schließen und erneut prüfen.	Le HID de la manette est retenu par un autre processus — fermez les logiciels de manette en conflit et revérifiez.	다른 프로세스가 컨트롤러 HID를 점유 중입니다 — 충돌하는 컨트롤러 소프트웨어를 닫고 다시 확인하세요.	Otro proceso retiene el HID del mando — cierra el software de mando en conflicto y vuelve a comprobar.					L'HID del controller è trattenuto da un altro processo — chiudi i software per controller in conflitto e ricontrolla.	O HID do controle está em uso por outro processo — feche softwares de controle conflitantes e verifique de novo.		HID kontrolera jest zajęty przez inny proces — zamknij konfliktujące oprogramowanie kontrolera i sprawdź ponownie.
Controller HID opened but did not respond — try re-checking; a reboot may be needed.	Controller-HID geöffnet, aber keine Antwort — erneut prüfen; eventuell ist ein Neustart nötig.	HID de la manette ouvert mais sans réponse — revérifiez ; un redémarrage peut être nécessaire.	컨트롤러 HID가 열렸지만 응답이 없습니다 — 다시 확인하세요. 재부팅이 필요할 수 있습니다.	HID del mando abierto pero sin respuesta — vuelve a comprobar; puede hacer falta reiniciar.					HID del controller aperto ma senza risposta — ricontrolla; potrebbe servire un riavvio.	O HID do controle abriu mas não respondeu — tente verificar de novo; pode ser preciso reiniciar.		HID kontrolera otwarty, ale nie odpowiada — sprawdź ponownie; może być potrzebny restart.
Could not determine controller health.	Controller-Zustand konnte nicht ermittelt werden.	Impossible de déterminer l'état de la manette.	컨트롤러 상태를 확인할 수 없습니다.	No se pudo determinar el estado del mando.					Impossibile determinare lo stato del controller.	Não foi possível determinar o estado do controle.		Nie udało się ustalić stanu kontrolera.
The helper did not answer the health probe.	Der Helper hat auf die Zustandsabfrage nicht geantwortet.	Le helper n'a pas répondu au test d'état.	헬퍼가 상태 확인에 응답하지 않았습니다.	El helper no respondió a la comprobación de estado.					L'helper non ha risposto alla verifica di stato.	O helper não respondeu à sondagem de estado.		Helper nie odpowiedział na sondę stanu.
Unknown device	Unbekanntes Gerät	Appareil inconnu	알 수 없는 장치	Dispositivo desconocido					Dispositivo sconosciuto	Disp. desconhecido		Nieznane urządzenie
Could not locate the installed package — helper files not deployed.	Installiertes Paket nicht gefunden — Helper-Dateien nicht bereitgestellt.	Paquet installé introuvable — fichiers du helper non déployés.	설치된 패키지를 찾을 수 없습니다 — 헬퍼 파일이 배포되지 않았습니다.	No se encontró el paquete instalado — archivos del helper no desplegados.					Pacchetto installato non trovato — file dell'helper non distribuiti.	Não foi possível localizar o pacote instalado — arquivos do helper não implantados.		Nie znaleziono zainstalowanego pakietu — pliki helpera nie zostały wdrożone.
Helper files were not deployed — the widget will retry when it starts the helper.	Helper-Dateien wurden nicht bereitgestellt — das Widget versucht es beim Start des Helpers erneut.	Fichiers du helper non déployés — le widget réessaiera au démarrage du helper.	헬퍼 파일이 배포되지 않았습니다 — 위젯이 헬퍼를 시작할 때 다시 시도합니다.	Archivos del helper no desplegados — el widget lo reintentará al iniciar el helper.					File dell'helper non distribuiti — il widget riproverà quando avvia l'helper.	Os arquivos do helper não foram implantados — o widget tentará de novo ao iniciar o helper.		Pliki helpera nie zostały wdrożone — widżet spróbuje ponownie przy uruchamianiu helpera.
The helper is not answering.	Der Helper antwortet nicht.	Le helper ne répond pas.	헬퍼가 응답하지 않습니다.	El helper no responde.					L'helper non risponde.	O helper não responde.		Helper nie odpowiada.
A backup of your settings is at {0}	Ein Backup deiner Einstellungen liegt unter {0}	Une sauvegarde de vos réglages se trouve dans {0}	설정 백업 위치: {0}	Hay una copia de tus ajustes en {0}					Un backup delle impostazioni si trova in {0}	Um backup das suas configurações está em {0}		Kopia Twoich ustawień jest w {0}
Could not connect to the helper.	Keine Verbindung zum Helper.	Connexion au helper impossible.	헬퍼에 연결할 수 없습니다.	No se pudo conectar con el helper.					Impossibile connettersi all'helper.	Não foi possível conectar ao helper.		Nie udało się połączyć z helperem.
The helper did not respond in time.	Der Helper hat nicht rechtzeitig geantwortet.	Le helper n'a pas répondu à temps.	헬퍼가 제때 응답하지 않았습니다.	El helper no respondió a tiempo.					L'helper non ha risposto in tempo.	O helper não respondeu a tempo.		Helper nie odpowiedział na czas.
Disabling…	Wird deaktiviert…	Désactivation…	비활성화 중…	Desactivando…					Disattivazione…	Desativando…		Wyłączanie…
Disabled.	Deaktiviert.	Désactivé.	비활성화됨.	Desactivado.					Disattivato.	Desativado.		Wyłączono.
Enabling…	Wird aktiviert…	Activation…	활성화 중…	Activando…					Attivazione…	Ativando…		Włączanie…
Enabled and verified ({0}).	Aktiviert und geprüft ({0}).	Activé et vérifié ({0}).	활성화 및 확인됨({0}).	Activado y verificado ({0}).					Attivato e verificato ({0}).	Ativado e verificado ({0}).		Włączono i zweryfikowano ({0}).
virtual pad	virtuelles Gamepad	manette virtuelle	가상 패드	mando virtual					pad virtuale	controle virtual		wirtualny pad
Hides the physical gamepad so games see only the virtual controller.	Versteckt das physische Gamepad, damit Spiele nur den virtuellen Controller sehen.	Masque la manette physique pour que les jeux ne voient que la manette virtuelle.	게임이 가상 컨트롤러만 보도록 실제 게임패드를 숨깁니다.	Oculta el mando físico para que los juegos solo vean el mando virtual.					Nasconde il gamepad fisico così i giochi vedono solo il controller virtuale.	Oculta o controle físico para que os jogos vejam só o controle virtual.		Ukrywa fizyczny pad, aby gry widziały tylko wirtualny kontroler.
Take HidHide_x.x.x.x_x64.exe.	Nimm HidHide_x.x.x.x_x64.exe.	Prenez HidHide_x.x.x.x_x64.exe.	HidHide_x.x.x.x_x64.exe를 받으세요.	Toma HidHide_x.x.x.x_x64.exe.					Prendi HidHide_x.x.x.x_x64.exe.	Pegue HidHide_x.x.x.x_x64.exe.		Weź HidHide_x.x.x.x_x64.exe.
Provides the virtual controller itself (the VIIPER backend).	Stellt den virtuellen Controller selbst bereit (das VIIPER-Backend).	Fournit la manette virtuelle elle-même (le backend VIIPER).	가상 컨트롤러 자체를 제공합니다(VIIPER 백엔드).	Proporciona el propio mando virtual (el backend VIIPER).					Fornisce il controller virtuale stesso (il backend VIIPER).	Fornece o próprio controle virtual (o backend VIIPER).		Zapewnia sam wirtualny kontroler (backend VIIPER).
Take USBip-0.9.8.0-x64.exe from this page. The link opens version 0.9.8.0 deliberately — it is the version ClawTweaks supports.	Nimm USBip-0.9.8.0-x64.exe von dieser Seite. Der Link öffnet absichtlich Version 0.9.8.0 — das ist die Version, die ClawTweaks unterstützt.	Prenez USBip-0.9.8.0-x64.exe sur cette page. Le lien ouvre volontairement la version 0.9.8.0 — c'est celle que ClawTweaks prend en charge.	이 페이지에서 USBip-0.9.8.0-x64.exe를 받으세요. 링크는 의도적으로 0.9.8.0 버전을 엽니다 — ClawTweaks가 지원하는 버전입니다.	Toma USBip-0.9.8.0-x64.exe de esta página. El enlace abre a propósito la versión 0.9.8.0 — es la que ClawTweaks admite.					Prendi USBip-0.9.8.0-x64.exe da questa pagina. Il link apre apposta la versione 0.9.8.0 — è quella supportata da ClawTweaks.	Pegue USBip-0.9.8.0-x64.exe nesta página. O link abre a versão 0.9.8.0 de propósito — é a versão que o ClawTweaks suporta.		Weź USBip-0.9.8.0-x64.exe z tej strony. Link celowo otwiera wersję 0.9.8.0 — to wersja obsługiwana przez ClawTweaks.
